"County","Precinct
Number","Precinct Name","Total 
Population","White","Black","AIAN","Asian","HawPI","Other","Multi","Hisp.
White","Hisp.
Black","Hisp.
Other","Total
Hispanic"
"Chesterfield","041205","Falling Creek",5531,2469,2132,54,432,8,378,58,230,55,396,681
"Chesterfield","041206","Belmont",3999,1152,2010,40,25,1,709,62,413,66,771,1250
"Chesterfield","041207","Chippenham",2731,1129,1288,7,43,2,236,26,215,30,237,482
"Chesterfield","041208","Meadowbrook",5053,1842,2311,42,155,6,633,64,142,41,658,841
"Chesterfield","041209","Salem Church",5988,4164,1309,53,118,7,293,44,205,31,303,539
"Chesterfield","041210","Five Forks",5571,2856,2136,25,243,4,246,61,101,26,251,378
"Chesterfield","041211","Nash",4966,4189,530,23,187,2,15,20,70,4,13,87
"Chesterfield","041212","St. Lukes",2790,1759,821,19,79,5,80,27,70,17,85,172
"Chesterfield","041213","Southside",6498,1967,3664,48,251,4,475,89,255,52,485,792
"Chesterfield","041301","Ettrick",7537,1505,5802,37,44,1,78,70,59,81,81,221
"Chesterfield","041302","Deer Run",1978,1659,259,13,17,2,14,14,50,10,16,76
"Chesterfield","041303","Matoaca",5765,3406,2224,35,40,5,26,29,57,25,36,118
"Chesterfield","041304","Winfrees Store",5452,4490,767,50,65,1,41,38,73,15,48,136
"Chesterfield","041305","Beach",1679,1548,90,9,20,1,7,4,53,0,7,60
"Chesterfield","041306","Winterpock",4727,4216,391,31,43,1,31,14,55,8,28,91
"Chesterfield","041307","Cosby",5841,4679,697,27,319,3,86,30,122,14,91,227
"Chesterfield","041308","S. Manchester",4514,3024,1049,42,190,7,146,56,128,17,166,311
"Chesterfield","041309","Skinquarter",6195,5347,406,13,355,5,31,38,143,12,34,189
"Chesterfield","041310","Tomahawk",4246,3761,287,23,116,0,36,23,76,10,33,119
"Chesterfield","041312","Evergreen",7232,5669,844,33,596,10,53,27,140,22,60,222
"Chesterfield","041313","Woolridge",4960,4328,381,14,199,3,24,11,104,14,23,141
"Chesterfield","041315","Bailey Bridge",5910,4890,754,45,114,2,62,43,123,22,71,216
"Chesterfield","041316","Spring Run",4960,3946,681,39,150,5,88,51,132,21,86,239
"Chesterfield","041317","Birkdale",4140,3343,512,13,208,3,46,15,78,5,50,133
"Chesterfield","041401","Harbour Pointe",2485,2069,303,26,78,0,3,6,40,2,14,56
"Chesterfield","041402","Genito",7899,5736,1470,54,417,11,148,63,178,24,172,374
"Chesterfield","041403","Brandermill",4876,3874,492,17,415,6,36,36,114,6,25,145
"Chesterfield","041404","Providence",4229,2791,1047,41,145,1,176,28,129,16,194,339
"Chesterfield","041405","La Prade",3925,2871,691,36,174,3,116,34,59,13,111,183
"Chesterfield","041406","Smoketree",3061,2756,152,19,112,2,15,5,48,2,14,64
"Chesterfield","041407","Monacan",2176,1920,122,4,104,0,21,5,36,4,18,58
"Chesterfield","041408","Reams",6138,3507,1936,76,303,1,265,50,203,35,300,538
"Chesterfield","041409","Manchester",4818,2365,2019,37,84,8,250,55,134,26,259,419
"Chesterfield","041410","Wagstaff",2611,1844,603,20,78,0,50,16,89,8,67,164
"Chesterfield","041411","Swift Creek",3951,3497,299,22,91,0,27,15,78,5,25,108
"Chesterfield","041413","Shenandoah",4206,2809,972,44,169,9,158,45,149,14,172,335
"Chesterfield","041414","Crenshaw",5171,3817,940,53,129,3,199,30,195,20,220,435
"Chesterfield","041501","Huguenot",3698,2865,560,23,103,0,130,17,252,2,136,390
"Chesterfield","041502","Crestwood",2006,1791,103,23,56,3,14,16,21,1,20,42
"Chesterfield","041503","Midlothian",8463,7059,744,38,489,3,108,22,154,21,103,278
"Chesterfield","041504","Robious",5278,4714,154,7,379,0,15,9,71,1,8,80
"Chesterfield","041505","Bon Air",3804,3549,146,8,71,0,20,10,45,6,19,70
"Chesterfield","041506","Greenfield",4446,3457,570,13,285,0,101,20,145,14,94,253
"Chesterfield","041507","Salisbury",5003,4653,122,5,187,3,19,14,65,1,10,76
"Chesterfield","041508","Belgrade",3361,2676,439,25,167,1,37,16,67,12,40,119
"Chesterfield","041509","Cranbeck",2732,2000,423,19,214,0,49,27,58,19,68,145
"Chesterfield","041510","Sycamore",4214,3803,210,29,138,2,19,13,56,7,22,85
"Chesterfield","041511","Black Heath",2590,2439,44,10,80,4,7,6,33,0,7,40
"Chesterfield","041513","Beaufont",2240,957,860,12,87,11,275,38,245,26,289,560
"Chesterfield","041514","Watkins",4977,4168,359,30,357,3,45,15,120,7,38,165
"Chesterfield","041515","Davis",5935,2016,3079,45,91,2,619,83,312,61,645,1018
"Clarke","043101","Russell",2562,2432,63,9,27,4,20,7,57,0,22,79
"Clarke","043201","Berryville",3396,2910,355,38,35,2,54,2,56,5,57,118
"Clarke","043301","Millwood",1771,1593,106,11,19,4,32,6,40,0,34,74
"Clarke","043302","Pine Grove",835,792,12,10,13,1,3,4,9,0,3,12
"Clarke","043401","White Post",2616,2320,199,14,28,1,48,6,47,0,43,90
"Clarke","043501","Buckmarsh",2135,1924,88,14,48,6,42,13,58,0,48,106
"Clarke","043502","Blue Ridge",719,691,9,12,6,0,1,0,8,0,3,11
"Craig","045101","Court House",1016,1003,5,2,3,2,1,0,4,0,3,7
"Craig","045201","Ammendale",829,827,0,2,0,0,0,0,3,0,0,3
"Craig","045202","North Mountain",174,167,0,0,7,0,0,0,2,0,0,2
"Craig","045301","Givens And Reynolds Store",612,605,2,3,0,1,1,0,3,0,0,3
"Craig","045302","McGuire's Store",206,205,0,1,0,0,0,0,0,0,0,0
"Craig","045303","Marshalls Store",200,198,0,1,1,0,0,0,0,0,1,1
"Craig","045401","Barbours Creek",355,348,3,0,0,0,4,0,6,0,4,10
"Craig","045402","Paint Bank",137,135,0,0,1,0,0,1,0,0,0,0
"Craig","045403","Craig Springs",429,423,0,0,4,0,0,2,0,0,0,0
"Craig","045404","Forks Of Johns Creek",150,147,0,1,2,0,0,0,0,0,0,0
"Craig","045501","Craig City",1082,1064,0,10,4,0,2,2,1,0,9,10
"Culpeper","047101","West Fairfax",9267,6106,1943,60,250,11,838,59,483,54,859,1396
"Culpeper","047201","East Fairfax",7112,3964,1986,77,161,11,866,47,396,72,924,1392
"Culpeper","047302","Eggbornsville",2763,2507,179,22,17,0,38,0,27,1,39,67
"Culpeper","047303","Cardova",2931,2255,510,15,62,0,74,15,61,15,72,148
"Culpeper","047401","Eldorado",2366,1958,314,20,14,2,43,15,29,6,47,82
"Culpeper","047402","Brown's Store",3981,3376,437,40,28,6,63,31,81,0,65,146
"Culpeper","047501","Jeffersonton",4978,4416,417,28,64,1,42,10,114,3,50,167
"Culpeper","047502","Rixeyville",1469,1352,68,9,5,4,22,9,27,2,23,52
"Culpeper","047601","Mitchells",2065,1126,867,10,14,4,40,4,142,5,40,187
"Culpeper","047602","Pearl Sample",3470,2836,473,8,39,9,93,12,74,4,104,182
"Culpeper","047702","Brandy Station",3685,2996,424,37,90,0,129,9,81,12,123,216
"Culpeper","047703","Lignum",1728,1382,270,9,21,0,43,3,46,4,45,95
"Culpeper","047704","Richardsville",874,784,53,19,5,0,9,4,15,0,12,27
"Cumberland","049101","Precinct 1",1912,1340,519,20,13,0,11,9,10,2,11,23
"Cumberland","049201","Precinct 2",2160,1501,594,15,8,0,25,17,23,4,25,52
"Cumberland","049301","Precinct 3",1994,983,948,22,9,0,25,7,5,9,26,40
"Cumberland","049401","Precinct 4",2004,1401,579,7,6,0,5,6,21,6,2,29
"Cumberland","049501","Precinct 5",1982,1202,721,18,15,0,18,8,15,5,17,37
"Dickenson","051101","South Clintwood",3163,3121,12,14,7,0,8,1,5,0,5,10
"Dickenson","051201","Nora",1120,1114,4,1,1,0,0,0,0,0,0,0
"Dickenson","051202","Frying Pan",432,425,3,3,0,0,1,0,0,0,2,2
"Dickenson","051203","Clinchco",1148,1120,18,9,1,0,0,0,5,0,0,5
"Dickenson","051301","West Dante",435,425,0,4,6,0,0,0,5,0,0,5
"Dickenson","051302","Herald",1088,1078,1,6,2,1,0,0,7,0,1,8
"Dickenson","051303","Ridge",1038,1021,4,2,0,0,11,0,11,1,11,23
"Dickenson","051304","Longs Fork",791,783,3,2,1,0,2,0,0,0,0,0
"Dickenson","051401","Colley",1708,1694,3,4,4,0,0,3,7,0,0,7
"Dickenson","051402","Haysi",1874,1858,6,6,2,0,0,2,12,0,1,13
"Dickenson","051501","Tarpon",832,819,2,7,2,0,2,0,1,0,2,3
"Dickenson","051502","Artrip",933,932,1,0,0,0,0,0,5,0,0,5
"Dickenson","051503","North Clintwood",1341,1322,4,5,5,1,4,0,4,0,1,5
"Dinwiddie","053101","Rohoic",1957,1230,612,12,21,3,67,12,80,3,70,153
"Dinwiddie","053102","White Oak",1177,883,263,18,0,0,6,7,10,0,7,17
"Dinwiddie","053103","Church Road",2187,1887,267,11,11,0,10,1,18,0,8,26
"Dinwiddie","053201","Edgehill",2010,1155,800,6,11,1,31,6,13,6,27,46
"Dinwiddie","053202","Chesdin",3975,2356,1472,31,19,6,76,15,41,10,84,135
"Dinwiddie","053301","Reams",1039,807,210,7,7,0,7,1,5,0,6,11
"Dinwiddie","053302","New Hope",4949,2628,2162,18,54,1,68,18,45,34,70,149
"Dinwiddie","053401","Dinwiddie",2593,1517,1022,23,15,0,9,7,16,4,10,30
"Dinwiddie","053402","Little Zion",1862,1085,745,8,8,0,12,4,13,0,12,25
"Dinwiddie","053403","Cherry Hill",735,387,330,1,8,0,5,4,0,4,5,9
"Dinwiddie","053501","Courthouse",1814,1367,418,5,16,2,5,1,24,3,4,31
"Dinwiddie","053502","McKenney",2195,1454,714,15,3,2,5,2,10,8,9,27
"Dinwiddie","053503","Rocky Run",1508,1143,347,7,2,0,7,2,7,1,7,15
"Essex","057101","Greater Tappahannock",2899,1515,1249,23,67,0,30,15,40,15,35,90
"Essex","057201","North",2754,1161,1491,41,8,0,31,22,29,4,38,71
"Essex","057301","South",2481,1765,626,21,11,3,47,8,22,2,54,78
"Essex","057401","Central",3017,1929,984,18,18,1,54,13,40,9,61,110
"Fairfax","059102","Bristow",5503,2137,766,33,1666,13,845,43,844,36,873,1753
"Fairfax","059104","Chapel",3156,2447,96,17,486,4,82,24,193,0,101,294
"Fairfax","059105","Fairview",6948,4901,485,38,1139,11,313,61,451,18,317,786
"Fairfax","059106","Heritage",9805,4211,865,98,2923,10,1596,102,1901,36,1703,3640
"Fairfax","059108","Kings Park",4333,3089,193,21,764,9,230,27,443,10,246,699
"Fairfax","059109","Olde Creek",3262,2482,80,21,593,5,68,13,230,4,76,310
"Fairfax","059110","North Springfield # 1",3674,2300,167,20,932,5,226,24,410,4,229,643
"Fairfax","059111","North Springfield # 2",3626,1815,335,39,695,7,699,36,504,14,740,1258
"Fairfax","059113","Oak Hill",3019,2245,69,11,647,0,30,17,153,0,43,196
"Fairfax","059115","Ravensworth",2466,1640,69,10,572,5,163,7,188,2,165,355
"Fairfax","059116","Wakefield",2966,2395,75,6,461,7,17,5,178,3,24,205
"Fairfax","059117","Woodson",7314,4939,814,25,1276,10,177,73,254,33,187,474
"Fairfax","059118","Lake Braddock",6805,4495,436,43,1358,2,418,53,880,25,457,1362
"Fairfax","059119","Laurel",5611,3966,367,18,993,5,230,32,373,5,215,593
"Fairfax","059120","Sideburn",4130,3399,146,20,472,5,72,16,221,6,77,304
"Fairfax","059121","Villa",3204,1978,222,35,717,2,230,20,240,10,266,516
"Fairfax","059122","Long Branch",2198,1655,47,5,456,2,28,5,110,2,14,126
"Fairfax","059123","Robinson",6304,4332,357,39,1320,18,199,39,395,15,202,612
"Fairfax","059124","Olley",2651,1893,59,10,625,3,53,8,104,2,51,157
"Fairfax","059125","Signal Hill",4257,3152,122,17,871,4,83,8,256,3,85,344
"Fairfax","059126","Bonnie Brae",3378,2158,286,16,749,2,150,17,273,8,152,433
"Fairfax","059127","Burke Centre",7071,4896,475,40,1281,15,315,49,696,11,336,1043
"Fairfax","059128","Cardinal",3794,2569,395,38,543,8,218,23,307,31,245,583
"Fairfax","059129","Keene Mill",2648,1759,142,11,489,6,219,22,223,7,229,459
"Fairfax","059130","Terra Centre",3307,2366,160,24,573,4,160,20,211,5,169,385
"Fairfax","059202","Flint Hill",5932,4577,168,33,856,1,262,35,334,14,262,610
"Fairfax","059203","Floris",5204,3421,186,13,1488,12,48,36,129,2,57,188
"Fairfax","059208","Reston #1",4738,2942,657,40,800,4,257,38,290,23,260,573
"Fairfax","059209","Reston #2",4703,3197,791,22,487,4,146,56,281,18,142,441
"Fairfax","059213","Vienna #1",5496,4416,119,21,778,2,141,19,259,11,143,413
"Fairfax","059214","Vienna #2",4158,3414,77,23,560,1,68,15,192,3,65,260
"Fairfax","059216","Vienna #4",2997,1777,103,28,414,7,645,23,338,20,657,1015
"Fairfax","059218","Vienna #6",2853,2100,244,20,395,1,71,22,101,5,81,187
"Fairfax","059219","Westbriar",5268,3800,184,14,1172,1,59,38,256,8,45,309
"Fairfax","059220","Dogwood",7658,3580,1299,111,1228,2,1347,91,848,59,1424,2331
"Fairfax","059221","Hunters Woods",3302,2859,148,13,235,3,28,16,107,2,24,133
"Fairfax","059222","Reston #3",3240,2241,398,17,313,0,236,35,275,15,245,535
"Fairfax","059223","Glade",5132,3814,478,20,618,3,154,45,238,15,148,401
"Fairfax","059224","South Lakes",5684,4711,308,30,534,3,76,22,210,5,68,283
"Fairfax","059225","Terraset",6940,4148,975,41,1052,7,647,70,986,51,636,1673
"Fairfax","059226","Wolftrap",4460,3932,46,8,446,1,22,5,156,0,25,181
"Fairfax","059227","Sunrise Valley",2378,1973,56,7,322,0,13,7,102,3,19,124
"Fairfax","059229","Fox Mill",6062,4641,253,32,1010,9,84,33,217,13,89,319
"Fairfax","059233","North Point",6986,5598,390,26,811,8,121,32,357,16,103,476
"Fairfax","059234","Aldrin",6352,5095,301,26,842,5,67,16,205,14,76,295
"Fairfax","059235","Frying Pan",5436,2182,404,24,2670,4,89,63,171,17,76,264
"Fairfax","059236","Stuart",1828,1404,136,7,221,0,51,9,92,1,50,143
"Fairfax","059237","McNair",7557,3034,1096,36,2966,5,298,122,459,26,303,788
"Fairfax","059238","Cameron Glen",4836,3607,315,23,762,6,85,38,194,10,95,299
"Fairfax","059239","Coppermine",7394,2526,1352,21,2931,4,452,108,357,33,465,855
"Fairfax","059301","Chain Bridge",4726,3715,93,9,871,1,16,21,195,9,29,233
"Fairfax","059302","Chesterbrook",3258,2911,58,15,230,1,28,15,126,4,25,155
"Fairfax","059303","Churchill",2178,1585,37,9,502,3,21,21,101,1,21,123
"Fairfax","059304","Cooper",2993,2347,82,13,519,2,16,14,90,1,18,109
"Fairfax","059305","El Nido",3154,2643,53,11,413,0,27,7,110,3,29,142
"Fairfax","059306","Great Falls",2525,2193,36,5,242,4,25,20,60,5,19,84
"Fairfax","059307","Haycock",3369,2780,65,13,469,0,38,4,120,9,29,158
"Fairfax","059309","Kenmore",4966,3616,144,8,1127,1,41,29,150,3,25,178
"Fairfax","059310","Kirby",3043,2343,60,12,560,4,53,11,112,0,46,158
"Fairfax","059311","Langley",2736,2264,44,14,395,1,13,5,122,2,14,138
"Fairfax","059312","Longfellow",3861,2894,86,19,807,2,37,16,170,3,27,200
"Fairfax","059314","McLean",3382,2571,85,8,645,5,43,25,152,7,40,199
"Fairfax","059315","Pimmit",5254,3601,242,84,875,8,396,48,685,21,468,1174
"Fairfax","059316","Salona",3623,3052,111,11,404,3,38,4,154,7,29,190
"Fairfax","059317","Westhampton",3095,2494,44,8,488,2,49,10,118,2,38,158
"Fairfax","059318","Westmoreland",2030,1550,35,9,392,3,33,8,98,1,33,132
"Fairfax","059319","Herndon #1",6684,4014,571,63,1285,2,709,40,692,33,751,1476
"Fairfax","059320","Herndon #2",8600,4155,865,96,1555,4,1833,92,1491,32,1911,3434
"Fairfax","059321","Clearview",5784,4480,270,33,774,6,173,48,273,8,181,462
"Fairfax","059322","Forestville",4234,3444,90,17,623,0,35,25,123,6,38,167
"Fairfax","059323","Shouse",3059,2193,78,10,745,1,24,8,57,1,22,80
"Fairfax","059324","Herndon #3",8008,3641,909,72,1708,1,1590,87,1198,37,1681,2916
"Fairfax","059325","Hutchison",5843,2733,719,50,1269,6,974,92,1065,52,999,2116
"Fairfax","059327","Sugarland",4261,3065,217,17,795,4,137,26,164,9,136,309
"Fairfax","059328","Hickory",4221,3323,65,9,775,7,31,11,127,1,22,150
"Fairfax","059329","Seneca",4447,3464,125,7,803,0,33,15,175,3,24,202
"Fairfax","059330","Colvin",3240,2507,82,15,590,9,25,12,134,4,25,163
"Fairfax","059331","Spring Hill",3012,2385,47,11,540,0,17,12,102,0,14,116
"Fairfax","059401","Bush Hill",4703,3357,520,23,589,19,161,34,368,6,174,548
"Fairfax","059402","Cameron",1650,1042,181,27,134,0,251,15,150,10,270,430
"Fairfax","059404","Franconia",5616,3440,927,36,1020,8,134,51,330,36,152,518
"Fairfax","059405","Groveton",14159,4966,4318,127,1311,10,3235,192,2407,135,3354,5896
"Fairfax","059406","Hayfield",3836,2990,430,23,295,3,72,23,203,3,87,293
"Fairfax","059408","Mount Eagle",2327,1534,197,33,175,4,372,12,372,11,395,778
"Fairfax","059409","Pioneer",9105,4331,1428,63,2202,8,992,81,909,27,1036,1972
"Fairfax","059410","Rose Hill",6812,4354,876,45,985,7,491,54,533,45,495,1073
"Fairfax","059411","Virginia Hills",2270,1502,154,16,234,4,344,16,475,10,359,844
"Fairfax","059413","Fairfield",12582,3644,4614,123,915,20,2998,268,1822,164,3221,5207
"Fairfax","059415","Crestwood",4910,2422,215,82,1089,5,1007,90,739,28,1146,1913
"Fairfax","059417","Garfield",6213,2579,619,54,2332,7,565,57,450,14,574,1038
"Fairfax","059418","Lynbrook",4867,1886,279,84,1175,0,1356,87,795,21,1429,2245
"Fairfax","059419","Lane",5322,2970,1072,45,906,10,278,41,562,34,298,894
"Fairfax","059420","Villages",5421,3436,1009,35,735,5,140,61,319,37,154,510
"Fairfax","059421","Kingstowne",5771,3542,1095,30,865,4,181,54,339,26,171,536
"Fairfax","059422","Van Dorn",5613,3205,1230,27,855,12,232,52,343,35,246,624
"Fairfax","059423","Clermont",3829,2760,304,17,376,2,341,29,291,8,340,639
"Fairfax","059424","Huntley",3677,2386,587,30,446,2,198,28,188,24,223,435
"Fairfax","059425","Wilton",3398,1955,674,28,268,1,442,30,441,18,463,922
"Fairfax","059426","Greenspring",2010,1948,15,2,41,0,2,2,9,1,3,13
"Fairfax","059427","Island Creek",3893,2472,673,36,613,2,52,45,253,21,66,340
"Fairfax","059501","Baileys",7072,3249,1533,51,828,8,1323,80,1126,39,1379,2544
"Fairfax","059502","Barcroft",4040,3216,92,20,465,1,225,21,344,7,229,580
"Fairfax","059503","Belvedere",2307,1761,48,23,228,2,232,13,322,2,258,582
"Fairfax","059505","Glen Forest",3981,2096,639,24,513,13,664,32,642,56,690,1388
"Fairfax","059506","Holmes #1",5521,2363,102,194,459,7,2300,96,2068,32,2555,4655
"Fairfax","059507","Lincolnia",6215,3023,1405,39,930,3,758,57,878,25,764,1667
"Fairfax","059508","Masonville",3049,1965,93,13,664,7,297,10,407,5,300,712
"Fairfax","059510","Parklawn",3395,2041,213,11,683,2,414,31,488,6,436,930
"Fairfax","059511","Ravenwood",2326,1731,86,15,365,1,116,12,253,2,112,367
"Fairfax","059512","Sleepy Hollow",1978,1440,52,26,323,3,124,10,201,0,136,337
"Fairfax","059513","Saint Albans",3711,2499,344,25,606,1,218,18,364,13,236,613
"Fairfax","059515","Westlawn",3016,1560,100,55,624,0,656,21,593,21,718,1332
"Fairfax","059516","Weyanoke",6152,2199,1646,60,1138,0,1036,73,880,18,1073,1971
"Fairfax","059517","Willston",6123,2571,496,80,1209,10,1664,93,1322,44,1759,3125
"Fairfax","059518","Columbia",6502,2641,559,53,1690,5,1503,51,951,23,1559,2533
"Fairfax","059519","Hummer",2779,1584,193,15,827,3,144,13,216,7,143,366
"Fairfax","059520","Skyline",6588,4057,1405,32,808,9,214,63,468,25,160,653
"Fairfax","059521","Brook Hill",3774,2040,313,23,1053,10,298,37,449,13,335,797
"Fairfax","059522","Camelot",1788,1514,52,4,181,0,32,5,82,1,32,115
"Fairfax","059523","Poe",4239,2367,513,42,953,14,292,58,439,12,318,769
"Fairfax","059524","Whittier",4390,2129,216,42,1026,5,929,43,769,5,955,1729
"Fairfax","059525","Walnut Hill # 1",1464,679,33,8,506,0,233,5,170,5,239,414
"Fairfax","059526","Bren Mar",6116,2930,1492,55,913,10,653,63,580,39,709,1328
"Fairfax","059527","Edsall",2851,1619,198,16,747,8,231,32,236,3,239,478
"Fairfax","059528","Ridgelea",1627,1163,45,8,386,0,17,8,56,1,16,73
"Fairfax","059529","Glen Forest #2",3439,1775,243,27,801,6,541,46,447,21,546,1014
"Fairfax","059530","Holmes #2",3400,2035,383,16,621,7,298,40,468,19,285,772
"Fairfax","059531","Leewood",1483,728,206,11,425,0,92,21,108,4,102,214
"Fairfax","059601","Belle Haven",3411,2658,322,15,161,9,222,24,325,6,245,576
"Fairfax","059602","Belleview",2762,2418,152,22,121,3,38,8,130,11,39,180
"Fairfax","059604","Bucknell",7242,3343,2065,46,577,16,1112,83,757,66,1162,1985
"Fairfax","059605","Fort Hunt",2822,2592,45,15,121,6,37,6,72,2,47,121
"Fairfax","059606","Hollin Hall",2414,2275,41,9,66,1,19,3,81,3,16,100
"Fairfax","059607","Huntington",5784,3668,810,48,614,2,581,61,509,16,595,1120
"Fairfax","059608","Kirkside",2705,1969,379,11,246,7,78,15,175,13,81,269
"Fairfax","059609","Marlan",2939,2365,279,22,125,0,138,10,208,9,143,360
"Fairfax","059610","Sherwood",4412,2700,1212,35,309,1,119,36,178,27,127,332
"Fairfax","059611","Stratford",4505,4125,119,27,187,8,27,12,152,2,28,182
"Fairfax","059612","Waynewood",1914,1785,34,6,68,1,14,6,55,0,19,74
"Fairfax","059613","Westgate",4162,3540,264,19,254,6,67,12,142,6,61,209
"Fairfax","059614","Whitman",2795,2247,144,28,219,9,127,21,153,17,132,302
"Fairfax","059615","Woodley",5459,3094,1278,40,471,2,535,39,570,39,550,1159
"Fairfax","059616","Gunston",9033,5891,1890,87,695,32,272,166,591,93,344,1028
"Fairfax","059617","Lorton",4353,1307,1750,28,821,7,378,62,368,73,399,840
"Fairfax","059618","Newington",7713,4805,999,54,1292,23,458,82,717,30,495,1242
"Fairfax","059619","Belvoir",5383,3268,1116,53,593,18,246,89,329,38,269,636
"Fairfax","059621","Grosvenor",2958,1692,586,23,383,4,220,50,220,21,243,484
"Fairfax","059622","Lorton Station",6674,2736,2004,34,1161,31,607,101,541,64,638,1243
"Fairfax","059623","Alban",2247,1200,500,8,397,3,100,39,152,12,112,276
"Fairfax","059624","Hunt",5415,3642,536,45,1009,6,128,49,337,18,147,502
"Fairfax","059625","Lorton Center",3439,1751,808,9,532,1,302,36,229,13,307,549
"Fairfax","059626","Saratoga",7745,4585,1154,42,1334,16,536,78,646,30,534,1210
"Fairfax","059627","Woodlawn",8222,3340,2578,80,907,16,1176,125,1061,56,1266,2383
"Fairfax","059628","Laurel Hill",6903,2376,1501,27,2664,14,227,94,350,32,242,624
"Fairfax","059629","South County",4090,2559,649,14,705,4,116,43,179,12,115,306
"Fairfax","059700","Fairfax A",1252,708,472,18,43,2,9,0,298,6,17,321
"Fairfax","059701","Blake",8118,4905,517,47,1901,11,669,68,633,26,672,1331
"Fairfax","059703","Fort Buffalo",3551,1693,366,33,823,1,611,24,474,18,652,1144
"Fairfax","059704","Freedom Hill",3338,2382,68,8,818,3,40,19,148,0,37,185
"Fairfax","059705","Graham",3591,1672,244,27,493,1,1125,29,767,30,1159,1956
"Fairfax","059706","Greenway",3059,1919,125,8,417,2,561,27,443,9,565,1017
"Fairfax","059707","Mantua",3021,2518,39,17,411,0,25,11,92,0,22,114
"Fairfax","059708","Marshall",9082,5453,388,45,2251,3,831,111,745,11,842,1598
"Fairfax","059709","Mosby",9834,4875,867,51,3285,14,673,69,844,47,669,1560
"Fairfax","059710","Pine Spring",4655,2536,316,45,1140,5,556,57,479,15,600,1094
"Fairfax","059711","Price",3407,2201,151,11,942,2,70,30,198,15,73,286
"Fairfax","059712","Shreve",1927,1565,44,11,234,3,62,8,96,0,64,160
"Fairfax","059713","Timber Lane",5808,2889,586,36,1376,4,856,61,775,19,905,1699
"Fairfax","059714","Walker",5681,2993,358,31,1978,5,287,29,577,32,279,888
"Fairfax","059717","Woodburn",3258,2058,197,41,773,1,168,20,244,6,200,450
"Fairfax","059718","Pine Ridge",4160,2447,367,39,931,6,339,31,507,44,371,922
"Fairfax","059719","Stenwood",1567,1124,63,3,354,0,22,1,96,3,20,119
"Fairfax","059720","Thoreau",2282,1879,32,10,312,0,40,9,94,2,41,137
"Fairfax","059721","Merrifield",7173,3412,464,59,2736,5,432,65,574,30,446,1050
"Fairfax","059726","Magarity",7185,4011,532,37,2282,16,229,78,477,26,236,739
"Fairfax","059727","Oakton",3361,2820,70,4,424,6,33,4,120,0,39,159
"Fairfax","059728","Walnut Hill # 2",1162,836,19,20,200,0,81,6,106,3,96,205
"Fairfax","059729","Nottoway",5459,3782,213,42,1289,2,84,47,325,14,87,426
"Fairfax","059730","Penderbrook",5316,3378,393,23,1350,5,127,40,340,24,134,498
"Fairfax","059731","Tysons",5025,3191,214,9,1485,6,96,24,262,9,72,343
"Fairfax","059732","Oak Marr",5086,4031,176,21,746,4,81,27,235,2,87,324
"Fairfax","059733","Kilmer",5969,3750,314,7,1765,6,88,39,306,5,95,406
"Fairfax","059801","Burke",7602,4270,715,35,1901,22,594,65,849,25,609,1483
"Fairfax","059803","Clifton",5430,4683,121,34,487,12,78,15,158,0,73,231
"Fairfax","059805","Fairfax Station",4213,3557,124,20,472,5,26,9,149,2,30,181
"Fairfax","059811","Pohick",5792,3775,514,40,1142,2,279,40,442,27,297,766
"Fairfax","059812","Valley",4283,2845,392,37,864,6,109,30,303,18,148,469
"Fairfax","059815","Woodyard",2747,2407,85,12,215,0,26,2,78,2,23,103
"Fairfax","059824","Orange",5598,4392,435,27,617,12,96,19,297,15,84,396
"Fairfax","059825","Cherry Run",3837,2704,252,28,795,1,29,28,188,10,44,242
"Fairfax","059827","Irving",3356,2879,109,17,254,1,79,17,284,4,85,373
"Fairfax","059833","White Oaks",4914,2896,465,27,1140,4,340,42,521,7,346,874
"Fairfax","059838","Sangster",3001,2413,160,13,360,0,36,19,133,0,33,166
"Fairfax","059839","Silverbrook",4746,3664,292,26,690,7,41,26,153,4,51,208
"Fairfax","059840","West Springfield",4176,3030,380,26,633,9,63,35,239,12,82,333
"Fairfax","059841","Popes Head",4378,3573,212,19,460,1,95,18,139,2,78,219
"Fairfax","059842","Parkway",3144,2228,149,14,640,7,73,33,120,10,85,215
"Fairfax","059843","Fairlakes",5210,3276,461,18,1302,5,113,35,280,17,114,411
"Fairfax","059844","Centerpointe",7062,4056,729,41,1820,13,341,62,392,30,332,754
"Fairfax","059845","Fountainhead",4864,3884,230,15,642,5,60,28,131,10,48,189
"Fairfax","059846","Greenbriar East",6222,3725,578,39,1509,22,304,45,445,28,325,798
"Fairfax","059847","Greenbriar West",4069,2597,258,17,867,8,288,34,259,7,295,561
"Fairfax","059848","Fair Oaks",2957,1476,233,15,1127,0,81,25,130,18,79,227
"Fairfax","059849","Newgate North",2384,1772,123,16,390,4,65,14,68,0,75,143
"Fairfax","059850","South Run",2047,1535,107,5,370,4,23,3,80,3,21,104
"Fairfax","059851","Willow Springs",7091,3970,358,25,2574,10,111,43,274,10,113,397
"Fairfax","059852","Monument",6552,3767,669,22,1860,10,162,62,304,31,174,509
"Fairfax","059853","Eagle View",6005,3679,562,30,1527,2,154,51,308,18,150,476
"Fairfax","059854","Newgate South",4095,3410,106,12,484,14,32,37,111,5,33,149
