
	District	1	Population Deviation: 	-4,168	Percent Deviation:	-2.4
	550	045	Sunray II*	1,746
	Norfolk city (Part)	10,654
	710	402	Berkley*	3,097
	710	403	Brambleton*	3,200
	710	404	Campostella*	4,357
	Suffolk city (Part)	21,929
	800	101	Yeates	2,771
	800	102	Driver*	4,291
	800	103	Harbour View*	7,027
	800	201	Ebenezer*	2,028
	800	302	John F. Kennedy	3,124
	800	703	Nansemond River	2,688
	District number-	18	Total	175,284	Population Deviation: 	-1,679	Percent Deviation:	-0.9	%
	Population:

	District	19	Population Deviation: 	3,120	Percent Deviation:	1.8

	Counties and Cities	98,238
	037	Charlotte	12,472
	083	Halifax	37,355
	590	Danville city	48,411
	Campbell (Part)	35,323
	031	201	Courthouse*	4,027
	031	202	White's Church*	1,244
	031	203	Morris Church*	2,374
	031	401	Concord*	3,620
	031	402	Kings*	2,292
	031	403	Airport*	1,515
	031	501	Brookneal*	4,273
	031	502	Gladys*	1,595
	031	503	Staunton River*	693
	031	601	Altavista*	3,433
	031	602	Lynch Station*	2,366
	031	701	Yellow Branch*	3,691
	031	702	Spring Hill*	4,200
	Pittsylvania (Part)	46,522
	143	103	Mt. Hermon Fire Station*	3,630
	143	105	Chatham*	1,837
	143	107	Tightsqueeze*	967
	143	108	West Blairs*	1,331
	143	204	Sandy Level*	1,376
	143	206	West Chatham*	1,058
	143	207	Gretna	4,596
	143	301	Central	1,587
	143	305	Riceville*	977
	143	307	East Blairs*	1,511
	143	308	Mt. Airy*	1,351
	143	309	East Gretna*	1,130
	143	401	Airport*	1,362
	143	402	Keeling	1,109
	143	404	Kentuck	4,631
	143	405	Ringgold*	2,441
	143	501	Hurt	3,545
	143	502	Motley Sycamore	3,270
	143	503	Renan*	1,261
	143	602	Bearskin*	1,735
	143	704	Mt. Hermon*	4,599
	143	306	Spring Garden*	1,218
	District number-	19	Total	180,083	Population Deviation: 	3,120	Percent Deviation:	1.8	%
	Population:

	District	20	Population Deviation: 	1,095	Percent Deviation:	0.6

	Counties and Cities	153,913
	063	Floyd	13,874
	067	Franklin	47,286
	089	Henry	57,930
	141	Patrick	19,407
	690	Martinsville city	15,416
	Carroll (Part)	8,922
	035	101	Mount Bethel*	1,569
	035	102	St Paul*	2,247
	035	199	Lambsburg 103/Oakland A 104	2,354
	035	202	Laurel Fork*	1,159
	035	203	Gladesboro*	1,593
	Pittsylvania (Part)	15,223
	143	106	Tunstall*	1,944
	143	201	Callands*	1,271
	143	603	Stony Mill*	2,224
	143	604	Swansonville	1,876
	143	605	Whitmell	1,498
	143	606	Brosville*	2,044
	143	702	Bachelors Hall*	1,742
	143	703	Ferry Road*	676
	143	705	Mt. Cross*	1,948
	District number-	20	Total	178,058	Population Deviation: 	1,095	Percent Deviation:	0.6	%
	Population:

	District	21	Population Deviation: 	-3,709	Percent Deviation:	-2.1

	Counties and Cities	94,911
	770	Roanoke city	94,911
	Roanoke (Part)	78,343
	161	104	Northside*	1,504
	161	105	Peters Creek	3,598
	161	106	Green Hill	3,909
	161	201	Plantation*	3,678
	161	202	Burlington*	2,624
	161	203	Mountain View	3,423
	161	204	Botetourt Springs	1,782
	161	205	Bonsack	3,779
	161	206	Hollins*	2,202
	161	207	Woodlands	1,253
	161	301	Bent Mountain	897
	161	302	Poages Mill	3,559
	161	303	Windsor Hills*	2,339
	161	306	Garst Mill*	2,633
	161	399	Oak Grove 304/Castle Rock 305	7,932
	161	403	North Vinton*	3,529
	161	404	South Vinton*	4,253
	161	405	Lindenwood*	4,367
	161	406	Mount Pleasant*	3,782
	161	501	Cotton Hill*	1,522
	161	502	Penn Forest*	2,348
	161	503	Cave Spring*	2,413
	161	504	Ogden*	3,305
	161	505	Clearbrook*	2,108
	161	506	Mount Vernon*	2,153
	161	507	Hunting Hills*	3,451
	District number-	21	Total	173,254	Population Deviation: 	-3,709	Percent Deviation:	-2.1	%
	Population:

	District	22	Population Deviation: 	-3,638	Percent Deviation:	-2.1

	Counties and Cities	125,460
	005	Alleghany	12,926
	017	Bath	5,048
	023	Botetourt	30,496
	045	Craig	5,091
	091	Highland	2,536
	163	Rockbridge	20,808
	530	Buena Vista city	6,349
	560	Clifton Forge city	4,289
	580	Covington city	6,303
	678	Lexington city	6,867
	775	Salem city	24,747
	Augusta (Part)	40,430
	015	101	Jolivue*	2,631
	015	102	Expo*	1,463
	015	304	Churchville Fire Station*	1,544
	015	401	Buffalo Gap*	2,046
	015	402	Churchville School*	1,740
	015	403	Craigsville*	2,823
	015	404	Deerfield*	629
